simulation_id,ROIC,N40_sales_capital_ratio,N32_working_capital,total_revenue,total_capital,N25_Fundusze_specjalne,N26_Saldo_naleznosci,N27_Stan_zapasow,N28_Stan_RMK_czynne,N29_Stan_zobowiazan_handlowych,N30_RMK_bierne
3238,0.30260606289068936,4.034555614912826,81.90772399340197,356.59344172,88.38481254340198,0.4629823354330296,112.07478150532842,0.965843314078298,12.873016788268355,40.58132043490733,2.9616148439327388
3239,0.368911423556766,4.918585044524001,66.02210349243616,356.59344172,72.49919204243616,0.5114265497988204,117.56468192930426,1.3213668478722789,21.98124712971865,71.56781773679356,2.7659481278666465
3240,0.46860727252024387,6.247799810998782,50.59795426623174,356.59344172,57.075042816231736,0.5285674320126523,98.52781014759998,0.4003496749872364,15.599354168762641,60.8821638107488,2.5188284823566782
3241,0.3546808381644275,4.728852929940113,68.93093259235258,356.59344172,75.40802114235258,0.5047500785899905,128.15773376829773,0.44945880452791176,13.120756290453365,69.86738709948341,2.424879092853044
3242,0.4811781645047168,6.415403732598789,49.106855435946,356.59344172,55.583943985946,0.49283456916281243,117.12564570792418,0.4143684031476076,14.232425383186122,79.00407860665574,3.168670882493328
3243,0.40304558600994356,5.373685565215027,59.882105227228564,356.59344172,66.35919377722857,0.47595515479792544,97.72696762335623,1.2716626883091586,21.959416891181867,57.4360897800167,3.163897040804072
3244,0.4763871505713353,6.3515265849256695,49.66586180248965,356.59344172,56.14295035248965,0.44380131792515465,109.31494437597287,0.5220309269937315,14.843314621096006,72.10900702675258,2.461619776895224
3245,0.5545626070065804,7.393816430992385,41.75151504709237,356.59344172,48.228603597092366,0.5095776852734638,105.82259471078437,1.8558269852642377,19.992640692320045,82.81727747850233,2.59269217750048
3246,0.31790404839810027,4.238519054165116,77.65452373320586,356.59344172,84.13161228320587,0.48655069245917926,127.99375596292099,1.106251382570734,15.933752128180606,63.397276292199415,3.495408755807841
3247,0.41735674427411285,5.564491933663327,57.606649187623105,356.59344172,64.08373773762311,0.44214226294181586,96.74767232323623,0.8740131385763132,18.018112034630164,54.7775939147064,2.8134121311713907
3248,0.40159429638556593,5.354335957190113,60.121915429409555,356.59344172,66.59900397940956,0.5374507328679697,101.56330488561086,0.9864655253990401,15.497536300151118,54.36839621664972,3.01954433223377
3249,0.4917461928246932,6.556304075406264,47.91231096818869,356.59344172,54.38939951818869,0.4890510110198032,105.93885949494941,0.37304534762858843,21.628006468031323,76.79377884851641,2.7447704828844195
3250,0.2662633787751986,3.550009539204745,93.97149835714454,356.59344172,100.44858690714454,0.5218390362350737,114.74537982316357,0.47860277121062855,22.46480283094369,40.291430999565165,2.9040170323731207
3251,0.596083726989321,7.947405034484272,38.392078199740254,356.59344172,44.86916674974025,0.4434429450097566,113.41039891649191,0.890125181280425,14.26438072374619,86.60792695074231,3.1214567260261936
3252,0.5178695726139688,6.904599240422158,45.16869555755051,356.59344172,51.645784107550504,0.43856330090322865,113.48364090884371,1.77354789223409,19.570558162390732,86.38493955067675,2.8355485543380468
3253,0.3060970785859012,4.0811002771060405,80.89970141039393,356.59344172,87.37678996039394,0.5200592384012994,112.14045553323655,0.8504095743876936,22.101456703514607,50.007835326119604,3.6647258362240134
3254,0.3779209256899485,5.03870602647581,64.29374821767105,356.59344172,70.77083676767106,0.4572209400726397,98.52617445271807,1.011438388806168,17.679714325613354,49.30964222386493,3.1567157855289802
3255,0.7169448440419515,9.558809954039603,30.82812448745575,356.59344172,37.30521303745575,0.5102865006843108,85.48606749692806,0.5234451971589131,20.314308961597042,71.32306303056778,3.6623476369761696
3256,0.5809702775995162,7.745901959780961,39.55931154537169,356.59344172,46.03640009537169,0.45353729754462796,103.53057298659535,1.145915674823777,19.88254933078994,81.50681869591688,3.039370453375876
3257,0.3283806069442728,4.378199857991878,74.970413456808,356.59344172,81.44750200680801,0.5374463045811281,95.89107362137062,1.7412342271649797,22.385129545223947,41.31412546086728,3.195452171503138
3258,0.2582210854407183,3.4427840612369605,97.09996867382114,356.59344172,103.57705722382114,0.5309285171838746,130.56004342515635,1.4394837863010155,18.138492954901224,49.676068170954636,2.8310548043989803
3259,1.320598842744682,17.607147144198446,13.775678056627552,356.59344172,20.252766606627553,0.5186099739023158,83.11056328888377,1.8895426154306318,19.22187440465605,86.53526153137571,3.3924307470648687
3260,0.39481281642824134,5.263920524736844,61.26584944540731,356.59344172,67.74293799540732,0.5047997266541974,120.29308206906866,1.7739169563045434,14.296607250865472,71.39680892624642,3.1961481779307372
